Pair,Frequency
00,32
01,51
02,42
03,47
04,43
05,44
06,52
07,40
08,43
09,67
10,53
11,50
12,49
13,53
14,66
15,47
16,47
17,53
18,52
19,56
20,50
21,64
22,44
23,44
24,39
25,57
26,54
27,50
28,49
29,38
30,54
31,44
32,46
33,37
34,45
35,47
36,42
37,50
38,50
39,42
40,42
41,51
42,49
43,38
44,46
45,54
46,57
47,54
48,56
49,54
50,45
51,54
52,60
53,48
54,54
55,41
56,51
57,57
58,47
59,64
60,56
61,48
62,52
63,46
64,53
65,60
66,47
67,52
68,48
69,47
70,38
71,60
72,51
73,48
74,48
75,52
76,42
77,44
78,54
79,48
80,44
81,50
82,50
83,41
84,51
85,62
86,62
87,37
88,38
89,55
90,47
91,53
92,46
93,55
94,56
95,57
96,56
97,48
98,53
99,47
